NPI,Drug
1003000407,744
1003007287,616
1003007287,79
1003007287,653
1003010802,744
1003015439,358
1003015439,491
1003015439,701
1003015439,601
1003015439,983
1003015439,167
1003015439,957
1003015439,770
1003015439,151
1003015439,653
1003015439,32
1003015439,582
1003015439,1029
1003015439,1053
1003015439,860
1003015439,195
1003015439,456
1003015439,617
1003015439,254
1003015439,552
1003015439,79
1003015439,400
1003015439,977
1003015439,625
1003015439,734
1003015439,766
1003015439,220
1003015439,48
1003015439,616
1003015439,936
1003036278,35
1003043027,740
1003043027,210
1003043027,212
1003043027,91
1003043027,52
1003043027,964
1003043027,53
1003043027,390
1003043027,276
1003043027,206
1003043027,420
1003043027,171
1003043027,182
1003057167,666
1003057167,492
1003057167,1030
1003057167,601
1003057167,850
1003057167,775
1003057167,860
1003057167,869
1003057167,457
1003057167,321
1003066838,492
1003066838,171
1003066838,770
1003066838,23
1003066838,239
1003066838,1017
1003066838,48
1003066838,1018
1003066838,653
1003066838,1036
1003066838,32
1003066838,957
1003066838,457
1003066838,456
1003066838,491
1003066838,35
1003066838,167
1003066838,850
1003066838,666
1003066838,909
1003066838,374
1003066838,279
1003066838,616
1003066838,674
1003066838,601
1003073941,1036
1003073941,1068
1003073941,602
1003073941,641
1003073941,327
1003073941,35
1003073941,457
1003073941,239
1003073941,861
1003073941,1028
1003073941,501
1003073941,411
1003073941,1030
1003073941,787
1003073941,180
1003073941,695
1003073941,95
1003073941,658
1003073941,640
1003073941,44
1003073941,290
1003073941,1018
1003073941,492
1003101692,182
1003101692,640
1003101692,492
1003101692,1030
1003101692,787
1003101692,509
1003101932,456
1003101932,79
1003101932,860
1003101932,674
1003101932,179
1003101932,673
1003101932,53
1003101932,91
1003101932,616
1003107541,509
1003107541,983
1003107541,416
1003107541,625
1003107541,75
1003107541,443
1003107541,48
1003107541,693
1003107541,935
1003107541,491
1003107541,653
1003107541,23
1003107541,79
1003107541,770
1003107541,887
1003107541,673
1003107541,616
1003115536,95
1003117698,314
1003117698,319
1003117698,714
1003117698,641
1003117698,787
1003117698,995
1003117698,670
1003117698,405
1003117698,1050
1003117698,775
1003117698,673
1003117698,432
1003117698,627
1003117698,640
1003117698,467
1003117698,23
1003117698,1039
1003117698,887
1003117698,754
1003117698,826
1003117698,491
1003117698,379
1003117698,537
1003117698,688
1003117698,32
1003117698,723
1003117698,817
1003117698,442
1003117698,180
1003117698,624
1003117698,860
1003117698,52
1003117698,534
1003117698,957
1003117698,570
1003117698,929
1003117698,788
1003117698,440
1003117698,12
1003117698,137
1003117698,719
1003117698,596
1003117698,132
1003117698,558
1003117698,327
1003117698,416
1003117698,290
1003117698,212
1003117698,542
1003117698,831
1003117698,221
1003117698,658
1003117698,75
1003117698,1075
1003117698,374
1003117698,466
1003117698,769
1003117698,903
1003117698,167
1003117698,376
1003117698,27
1003117698,623
1003117698,224
1003117698,101
1003117698,997
1003117698,616
1003117698,671
1003117698,983
1003117698,694
1003117698,961
1003117698,300
1003117698,770
1003117698,675
1003117698,861
1003117698,795
1003117698,397
1003117698,239
1003117698,406
1003117698,321
1003117698,856
1003117698,766
1003117698,287
1003117698,909
1003117698,1017
1003117698,420
1003117698,457
1003117698,722
1003117698,760
1003117698,102
1003117698,850
1003117698,509
1003117698,764
1003117698,786
1003117698,740
1003117698,855
1003117698,778
1003117698,68
