~id,~label,Name:String,HCPCS:String,NPI:Int,Fraud:String,Female:Int,tot_suplrs_standard_deviation:Double,tot_suplrs_mean:Double,tot_suplrs_sum:Double,tot_suplr_benes_standard_deviation:Double,tot_suplr_benes_mean:Double,tot_suplr_benes_sum:Double,tot_suplr_clms_standard_deviation:Double,tot_suplr_clms_mean:Double,tot_suplr_clms_sum:Double,tot_suplr_srvcs_standard_deviation:Double,tot_suplr_srvcs_mean:Double,tot_suplr_srvcs_sum:Double,avg_suplr_sbmtd_chrg_standard_deviation:Double,avg_suplr_sbmtd_chrg_mean:Double,avg_suplr_sbmtd_chrg_sum:Double,avg_suplr_mdcr_pymt_amt_standard_deviation:Double,avg_suplr_mdcr_pymt_amt_mean:Double,avg_suplr_mdcr_pymt_amt_sum:Double,bene_unique_cnt_mean:Double,bene_unique_cnt_sum:Double,bene_unique_cnt_standard_deviation:Double,line_svc_cnt_mean:Double,line_svc_cnt_sum:Double,line_svc_cnt_standard_deviation:Double,bene_day_srvc_cnt_mean:Double,bene_day_srvc_cnt_sum:Double,bene_day_srvc_cnt_standard_deviation:Double,average_submitted_chrg_amt_mean:Double,average_submitted_chrg_amt_sum:Double,average_submitted_chrg_amt_standard_deviation:Double,average_medicare_payment_amt_mean:Double,average_medicare_payment_amt_sum:Double,average_medicare_payment_amt_standard_deviation:Double,total_claim_count_mean:Double,total_claim_count_sum:Double,total_claim_count_standard_deviation:Double,total_30_day_fill_count_mean:Double,total_30_day_fill_count_sum:Double,total_30_day_fill_count_standard_deviation:Double,total_day_supply_mean:Double,total_day_supply_sum:Double,total_day_supply_standard_deviation:Double,total_drug_cost_mean:Double,total_drug_cost_sum:Double,total_drug_cost_standard_deviation:Double,bene_count_mean:Double,bene_count_sum:Double,bene_count_standard_deviation:Double
v11,Provider,,,1003101932,NO,0,0,0.477121255,1.322219295,0.602059991,0.903089987,1.763427994,1.397940009,1.612783857,2.463892989,1.414973348,1.62324929,2.477121255,2.040313493,1.971814166,2.816912206,1.347840835,1.37434651,2.21944455,2.176091259,3.324899497,2.064457989,2.383815366,3.531351165,2.413299764,2.383815366,3.531351165,2.413299764,2.872790371,4.018918407,2.560430097,1.923033508,3.069161543,1.607762308,1.278753601,2.608526034,0.903089987,1.294781046,2.617000341,0.928709329,2.588831726,3.912062556,2.456366033,2.262489511,3.584708806,2.252129598,1.278753601,2.602059991,0.84509804
v12,Provider,,,1003107541,NO,1,0,0.84509804,0.84509804,0,0.698970004,0.698970004,0,1.079181246,1.079181246,0,1.505149978,1.505149978,0,1.860992698,1.860992698,0,0.821718182,0.821718182,1.278753601,1.579783597,0,1.301029996,1.612783857,0,1.301029996,1.612783857,0,1.921686475,2.222716471,1.340846696,1.707773286,2.008803282,1.096567033,1.414973348,3.190051418,1.230448921,1.516330179,3.279758173,1.337006437,2.986323777,4.750107085,2.820201459,2.652628736,4.41605673,3.05066794,0.954242509,2.722633923,0.77815125
v13,Provider,,,1003115536,NO,1,0,0,0.301029996,0,0.698970004,1,0,1.079181246,1.397940009,0,1.079181246,1.397940009,0,1.756530784,2.057560779,0.477487284,1.530996782,1.832026778,1.851258349,3.576916956,1.86332286,2.474216264,4.199480915,3.172894698,1.875061263,3.602494069,1.86923172,2.898851439,4.623127308,2.841873828,1.969764857,3.694040726,1.632595825,1.230448921,1.72427587,0.698970004,1.274157849,1.751279104,0.797582707,2.740362689,3.217483944,2.260071388,2.479013545,2.9561348,1.336759316,0.698970004,1.176091259,0
v14,Provider,,,1003117698,NO,0,0.477121255,0.602059991,2.290034611,0.698970004,0.954242509,2.571708832,1.544068044,1.602059991,3.224274014,2.877946952,2.247973266,3.861116044,2.255916893,2.152839032,3.765622889,1.391684404,1.258500514,2.871284371,1.799340549,3.94846187,1.875061263,2.222716471,4.371308044,2.397940009,2.033423755,4.181557774,2.278753601,1.963294691,4.109422727,2.070626248,1.304295239,3.450423275,1.345466271,1.812913357,4.905126389,1.903089987,1.914057798,5.005724756,2.055215182,3.353723938,6.445566999,3.532754379,3.444596249,6.536263206,3.728581987,1.322219295,4.426104428,1.397940009
v15,Provider,,,1003121351,NO,0,0,0.698970004,1.041392685,0,0.698970004,1,0,1.041392685,1.342422681,0.602059991,1.462397998,1.763427994,0.663298458,1.851043104,2.152073099,0.878611124,1.130633712,1.431663707,2.004321374,3.236033147,1.770852012,2.178976947,3.409764104,2.021189299,2.178976947,3.409764104,2.021189299,2.250471081,3.480920003,1.742863611,1.751321499,2.981770421,1.573146889,1.716003344,4.185372143,1.832508913,1.796659565,4.263527185,1.931075912,3.257678575,5.724648547,3.400365273,3.283855932,5.750723553,3.551704032,1.113943352,3.58871978,1.113943352
v16,Provider,,,1003127655,YES,0,0,0.301029996,1.763427994,0.176091259,0.740362689,2.153814864,0.954242509,1.267171728,2.763427994,3.284543523,2.976808337,4.617796866,1.631338422,1.664816149,3.035694185,0.949844753,1.276283712,2.558793043,2.201397124,3.846398973,2.201397124,2.525044807,4.16867423,2.649334859,2.525044807,4.16867423,2.649334859,2.430625554,4.074078231,2.287673089,2.001163237,3.644615914,1.625334229,1.568201724,4.112739022,1.602059991,1.579071595,4.11940107,1.615966585,2.854306042,5.394796528,2.975891136,3.148895333,5.689224807,3.406509333,1.113943352,3.658964843,1.113943352
v17,Provider,,,1003136011,NO,1,0.477121255,0.602059991,2.209515015,0.954242509,1,2.565847819,1.491361694,1.477121255,3.046104787,2.646403726,2.230448921,3.788733859,2.26673551,2.112979349,3.66928185,1.46585894,1.287409647,2.843712148,1.819543936,3.849296541,1.819543936,2.075546961,4.105476121,2.290034611,1.986771734,4.018492453,2.11058971,1.981703513,4.011087291,1.878889273,1.692842682,3.72222646,1.69420156,1.672097858,4.547319257,1.785329835,1.986795203,4.858368139,2.170469193,3.45331834,6.325032047,3.649724186,3.498208243,6.369781178,3.824344201,1.113943352,4.011866357,1.204119983
v18,Provider,,,1003159526,NO,1,0,0,0.477121255,0.698970004,1.301029996,1.602059991,0.698970004,1.301029996,1.602059991,0.698970004,1.301029996,1.602059991,0.875813941,3.698997147,4.000027143,1.55843676,3.526352041,3.827382037,1.851258349,2.805500858,1.477121255,1.875061263,2.831869774,1.462397998,1.875061263,2.831869774,1.462397998,2.689707021,3.64394953,1.945595267,1.690791741,2.64503425,1.00936895,1.230448921,2.193124598,0.698970004,1.260071388,2.214313897,0.758036204,2.645422269,3.60031933,2.359835482,2.582654147,3.536896657,2.580192389,0.903089987,1.897627091,0.477121255
v19,Provider,,,1003207598,NO,1,0,0.301029996,0.602059991,0,0.698970004,1,0,1.230448921,1.531478917,0,1.230448921,1.531478917,2.308806521,2.408519293,2.709549289,1.503582234,1.53661785,1.837647845,1.447158031,2.301029996,1.342422681,1.505149978,2.359835482,1.447158031,1.505149978,2.359835482,1.447158031,2.181843588,3.026941628,2.061631738,1.736911269,2.582009309,1.673820258,1.176091259,2.579783597,0.477121255,1.2955671,2.675778342,0.958570019,2.600972896,3.981456167,2.562292864,2.0627214,3.442932642,1.798616361,1.041392685,2.444044796,0.77815125
v20,Provider,,,1003215260,NO,1,0,0,0.602059991,0,0.698970004,1.176091259,0,1.041392685,1.544068044,1.278753601,1.342422681,1.826074803,2.002943419,1.87777435,2.354895605,1.451005015,1.370462371,1.847583626,1.633468456,2.844477176,1.579783597,1.812913357,3.020361283,1.875061263,1.812913357,3.020361283,1.875061263,1.803675936,3.007795919,1.692844472,1.466546789,2.670666772,1.347203097,1.322219295,3.136403448,1,1.669760177,3.482673534,1.437884123,3.139879086,4.953039296,2.92890769,2.830540899,4.643454256,3.355909154,0.903089987,2.73239376,0.602059991
v21,Provider,,,1003215542,NO,1,0,0,0.301029996,0,0.698970004,1,0,1.041392685,1.342422681,0,1.041392685,1.342422681,0,1.709566741,2.010596736,0,0.479745399,0.780775394,1.505149978,2.653212514,1.380211242,1.568201724,2.722633923,1.447158031,1.568201724,2.722633923,1.447158031,2.095924647,3.242052683,2.130930908,1.411413378,2.557541414,1.390016189,1.230448921,2.878521796,0.698970004,1.475968187,3.119420863,1.208121873,2.871572936,4.515144995,2.773786445,2.297579973,3.94103265,2.153429493,0.954242509,2.635483747,0.77815125
v22,Provider,,,1003282450,NO,1,0,0.477121255,1.491361694,0.602059991,0.77815125,1.73239376,1.591064607,1.544068044,2.447158031,2.800717078,2.428134794,3.331427297,2.980246995,2.665477583,3.56856757,2.466617105,2.124265895,3.027355882,1.698970004,2.880241776,1.653212514,2.064457989,3.243038049,2.198657087,2.064457989,3.243038049,2.198657087,2.111407811,3.28749907,1.759792866,1.858588581,3.03467984,1.522751928,1.653212514,4.185457157,1.672097858,1.730557719,4.25947442,1.759768772,3.176091259,5.705251165,3.237543738,3.197398051,5.726314751,3.476904357,1.079181246,3.631646663,1.041392685
v23,Provider,,,1003289612,NO,1,0,0.301029996,0.954242509,0,0.698970004,1.301029996,0.698970004,1.278753601,1.897627091,0.698970004,1.301029996,1.913813852,2.323607412,2.55411619,3.156176181,1.561854405,1.755916124,2.357976116,1.698970004,2.847572659,1.755874856,1.72427587,2.872156273,1.785329835,1.72427587,2.872156273,1.785329835,2.832106448,3.978234484,2.760872451,1.876218207,3.022346242,1.711135729,1.380211242,3.192567453,1.230448921,1.493955696,3.293296245,1.362692697,2.944975908,4.744598056,2.858537198,2.868786018,4.668126567,3.225263128,0.903089987,2.711807229,0.698970004
v24,Provider,,,1003296484,NO,0,0,0,0,0,0.698970004,0.698970004,0,1.380211242,1.380211242,0,1.397940009,1.397940009,0,2.165095875,2.165095875,0,1.409432636,1.409432636,1.77815125,3.3287872,1.672097858,1.86923172,3.416474079,1.799340549,1.86923172,3.415307292,1.799340549,2.646436257,4.190504301,2.563509032,1.778475739,3.322543783,1.62432499,1.342422681,3.188084374,1.146128036,1.363667272,3.196176185,1.153480902,2.525044807,4.358353701,2.46686762,2.715429268,4.547938181,2.953064932,1.146128036,2.99343623,1
v25,Provider,,,1003297243,NO,0,0,0.477121255,1.230448921,0,0.698970004,1.397940009,0.477121255,1.204119983,1.903089987,2.877371346,2.556302501,3.255513713,2.247019267,2.176718931,2.875688935,1.624462554,1.538779098,2.237749102,1.079181246,1.568201724,0,1.146128036,1.62324929,0.602059991,1.146128036,1.62324929,0.602059991,2.159366642,2.636487896,1.699172581,1.840924222,2.318045477,1.367065749,1.477121255,3.514946005,1.414973348,1.734165558,3.759471424,1.677682437,3.187520721,5.213092551,3.159867847,3.19516076,5.220466625,3.532250728,1.113943352,3.153814864,1.079181246
v26,Provider,,,1003800632,NO,0,0,0,0.77815125,0,0.698970004,1.477121255,0,1.041392685,1.819543936,2.64738297,2.445604203,3.223755454,1.962951659,2.061162137,2.839313388,1.001108075,1.509664152,2.287815402,1.919078092,3.980911938,2.049218023,2.418301291,4.475729284,2.758154622,2.230448921,4.289254408,2.456366033,2.958089354,5.014994206,3.202292626,2.193237889,4.25014274,2.386110718,1.924279286,4.257318513,2.025305865,2.220782405,4.551196179,2.346599252,3.696443763,6.026941628,3.823409015,3.558298963,5.888712736,3.85202473,1.361727836,3.705778213,1.477121255
v27,Provider,,,1003809195,YES,0,0,0.301029996,1.146128036,0,0.698970004,1.477121255,0.903089987,1.230448921,2.021189299,1.113943352,1.361727836,2.155336037,2.319343932,2.380197987,3.158349237,1.543783175,1.609477807,2.387629057,1.505149978,2.11058971,1.230448921,1.672097858,2.281033367,1.301029996,1.662757832,2.264817823,1.301029996,2.045322979,2.64738297,1.755317181,1.69265664,2.294716632,1.631439457,1.505149978,3.377124042,1.491361694,1.754926569,3.624158289,1.813151953,3.218797998,5.088203443,3.295127085,3.087601527,4.956833247,3.359954394,0.954242509,2.828659897,0.954242509
v28,Provider,,,1003812322,NO,0,0.698970004,0.698970004,2.549003262,0.903089987,0.903089987,2.760422483,1.255272505,1.414973348,3.239049093,2.694605199,2.217483944,4.031368063,2.005266236,1.910314184,3.723227541,1.524307331,1.430978912,3.243892269,2.012837225,4.563540411,2.139879086,2.396199347,4.946471916,2.769377326,2.227886705,4.780036334,2.51851394,1.811609209,4.361837562,1.762534224,1.687156285,4.237384638,1.66270844,1.69019608,4.642227028,1.748188027,2.045818999,4.989807874,2.173671861,3.51295108,6.456988784,3.653212514,3.512992316,6.456981191,3.778170988,1.176091259,4.144574208,1.204119983
v29,Provider,,,1003817156,NO,0,0.84509804,1.079181246,3.378034322,2.146128036,2.089905111,4.380591083,2.462397998,2.463892989,4.753935254,3.276461804,3.068556895,5.358772151,2.452203473,2.261981784,4.552016395,1.821677898,1.543234099,3.833268711,1.968482949,4.086146191,2.123851641,2.220108088,4.337938219,2.580924976,2.146128036,4.264369135,2.456366033,2.583270833,4.700542129,2.809923568,2.007239528,4.124510824,2.100138516,1.748188027,4.013847996,1.886490725,1.891779782,4.156597605,2.043947231,3.350248018,5.615119577,3.525692525,4.274354865,6.539172688,4.559770642,1.176091259,3.448242413,1.204119983
v30,Provider,,,1003836958,NO,0,0,0,0,0,0.698970004,0.698970004,0,1.079181246,1.079181246,0,1.079181246,1.079181246,0,3.64641353,3.64641353,0,2.857515425,2.857515425,2.037426498,3.581608366,1.959041392,2.049218023,3.596267126,1.977723605,2.049218023,3.595385981,1.977723605,2.747565457,4.291633501,2.569318322,1.97465718,3.518725224,1.800155674,1.041392685,1.361727836,0,1.06069784,1.361727836,0,1.857332496,2.158362492,1.491361694,2.291013454,2.59204345,2.180061098,0.903089987,1.230448921,0.602059991
v31,Provider,,,1003841263,NO,0,0.698970004,0.698970004,2.496929648,0.84509804,0.954242509,2.717670503,1.322219295,1.447158031,3.215108581,2.827369273,2.424881637,4.180756492,1.995498622,1.909200615,3.665075471,1.406644902,1.391962608,3.147837464,1.934498451,4.043912167,1.977723605,2.198657087,4.306982283,2.361727836,2.198657087,4.306960863,2.361727836,2.219068298,4.326278268,1.994361775,1.762687711,3.86989768,1.557873256,1.653212514,4.459769316,1.755874856,1.893588837,4.694305915,2.090303591,3.352375495,6.153251898,3.568553712,3.277683028,6.078400106,3.55083719,1.079181246,3.898560645,1.176091259
v32,Provider,,,1003849845,NO,0,0,0.301029996,1.544068044,0,0.698970004,1.913813852,1.079181246,1.361727836,2.552668216,1.113943352,1.361727836,2.553883027,2.067834712,2.119301121,3.29539238,1.627799786,1.676152465,2.852243724,1.806179974,3.593839661,1.740362689,2.004321374,3.790496277,2.100370545,2.004321374,3.790496277,2.100370545,2.405314884,4.190644719,2.143486469,1.938240959,3.723570794,1.607280301,1.146128036,2.496929648,0.477121255,1.174244878,2.516667559,0.630246324,2.359835482,3.703978825,2.217483944,2.352054404,3.694477085,2.190579869,1.079181246,2.426511261,0.602059991
v33,Provider,,,1003850603,YES,0,0.602059991,0.698970004,2.389166084,1,0.954242509,2.600972896,1.361727836,1.431363764,3.051923916,2.703291378,2.315970345,3.929827481,2.019433879,1.890712016,3.503495873,1.598555261,1.433695314,3.04647917,1.707570176,3.128399269,1.77815125,2.149219113,3.564666064,2.389166084,2.146128036,3.562173863,2.389166084,1.889678942,3.30465229,1.776769429,1.61934958,3.034322928,1.542128515,1.568201724,4.41763774,1.662757832,1.7729684,4.61557764,1.854555436,3.235528447,6.078365817,3.329601248,3.408093194,6.250702434,3.883119673,0.954242509,3.816373889,0.954242509
v34,Provider,,,1003850710,NO,0,0,0.301029996,0.77815125,0,0.698970004,1.176091259,0.301029996,1.113943352,1.591064607,0.301029996,1.113943352,1.591064607,3.300305828,3.156637857,3.633759112,3.06964133,2.882985817,3.360107072,2.008600172,4.174001626,2.146128036,2.103803721,4.265666699,2.245512668,2.089905111,4.252853031,2.227886705,2.279327623,4.440695625,2.396545598,1.847445889,4.008813891,1.817960248,1.929418926,4.46746011,2,2.244604077,4.782423172,2.347335051,3.718335579,6.2562322,3.823669813,3.994823786,6.532642881,4.494803775,1.361727836,3.903578294,1.431363764
v35,Provider,,,1003863366,NO,0,0,0,0.301029996,0,0.698970004,1,0,1.041392685,1.361727836,0,1.041392685,1.361727836,2.527091955,2.640481437,2.941511433,1.807982644,1.922261175,2.22329117,1.380211242,1.995635195,0.84509804,1.397940009,2.008600172,0.84509804,1.397940009,2.008600172,0.84509804,2.246497286,2.848557277,1.591553574,1.64893958,2.250999571,0.972950083,1.255272505,2.178976947,0.77815125,1.27588696,2.178976947,0.793835442,1.826074803,2.733197265,1.230448921,2.104563925,3.007653912,1.748807572,1.204119983,2.11058971,0.77815125
v36,Provider,,,1003869561,NO,1,0,0.301029996,0.602059991,0,0.698970004,1,0.84509804,1.602059991,1.908485019,0.84509804,1.602059991,1.908485019,0.622405028,1.720513017,2.021543013,0.813684587,1.534260889,1.835290885,1.72427587,3.367914739,1.633468456,1.913813852,3.561101384,1.86923172,1.897627091,3.545059585,1.86923172,2.241378985,3.884831661,1.960004472,1.838500378,3.481953055,1.556293859,1.602059991,3.260786669,1.69019608,1.635662432,3.288874946,1.737797043,3.080626487,4.734167523,3.188647296,3.229365297,4.882577811,3.367932062,1.146128036,2.806179974,1.204119983
v37,Provider,,,1003870239,YES,0,0,0.77815125,1.255272505,0,0.698970004,1.176091259,0.301029996,1.146128036,1.62324929,1.462397998,1.568201724,2.045322979,1.36599065,1.480037931,1.957159185,1.036652701,1.175424203,1.652545458,1.919078092,3.476831629,1.944482672,2.328379603,3.886659898,2.416640507,2.328379603,3.886659898,2.416640507,2.528411627,4.084714127,2.270746505,2.127715742,3.684018242,1.782460146,1.602059991,3.659060072,1.681241237,1.668543989,3.717762011,1.714053029,3.138618434,5.187881543,3.192567453,4.302478574,6.351696597,4.784096921,0.903089987,2.982723388,0.903089987
v38,Provider,,,1003870635,NO,1,0.903089987,1.113943352,2.292256071,1.041392685,1.176091259,2.354108439,1.531478917,1.681241237,2.858537198,2.130333768,2.176091259,3.354684554,1.422808317,1.606513218,2.782604477,0.641172289,0.736796839,1.912888098,2.190331698,3.607990859,2.1430148,2.283301229,3.69862243,2.238046103,2.283301229,3.69862243,2.238046103,2.355612734,3.770586082,1.930363925,1.91726435,3.332237698,1.532629587,1.875061263,4.174234305,2.278753601,2.218215792,4.514880982,2.653658741,3.691611874,5.988328818,4.129850951,3.961380724,6.258045914,4.190879198,1.255272505,3.559308011,1.653212514
v39,Provider,,,1003880667,NO,0,0.77815125,0.84509804,2.374748346,1,1.079181246,2.611723308,1.447158031,1.51851394,3.034227261,1.991226076,1.880813592,3.388633969,1.819509978,1.796797778,3.301947756,1.181007935,1.1221688,2.627318778,1.857332496,3.579097327,1.86923172,2.056904851,3.776628553,2.209515015,2.056904851,3.776628553,2.209515015,1.950941677,3.66694502,1.820525537,1.658814571,3.374817914,1.594578824,1.72427587,4.472332184,1.819543936,1.961743694,4.704468826,2.086166625,3.430075056,6.172891489,3.564547712,3.339343734,6.082068865,3.571988561,1.113943352,3.8831502,1.146128036
v40,Provider,,,1003880907,NO,0,0,0.301029996,1.447158031,0,0.698970004,1.812913357,0.77815125,1.255272505,2.390935107,3.192846115,3.406199424,4.520234544,0.895322177,0.863587423,1.977530776,0.406559293,0.418905301,1.532848653,1.662757832,3.383994789,1.698970004,1.799340549,3.519171464,1.924279286,1.799340549,3.519171464,1.924279286,2.142239116,3.85824246,2.038493479,1.758696179,3.474699523,1.588358535,1.929418926,4.12923861,2.139879086,2.069387616,4.265287268,2.303230315,3.525044807,5.721015467,3.783117137,3.795175577,5.99107523,3.990138526,1.342422681,3.54567815,1.462397998
v41,Provider,,,1003886979,YES,0,0.477121255,0.698970004,1.447158031,0,0.698970004,1.397940009,0.77815125,1.176091259,1.886490725,1.944482672,1.812913357,2.515873844,1.846231012,1.723345271,2.422315275,1.618031654,1.43214614,2.131116144,1.62324929,1.62324929,0,2.096910013,2.096910013,0,2.096910013,2.096910013,0,2.45331834,2.45331834,0,1.939462142,1.939462142,0,1.531478917,3.522835314,1.531478917,1.555526282,3.546752357,1.567536549,2.987666265,4.979256926,3.01911629,3.359427373,5.350653448,3.677058686,0.77815125,2.833784375,0.698970004
