~id,~label,Name:String,HCPCS:String,NPI:Int,Fraud:String,Female:Int,tot_suplrs_standard_deviation:Double,tot_suplrs_mean:Double,tot_suplrs_sum:Double,tot_suplr_benes_standard_deviation:Double,tot_suplr_benes_mean:Double,tot_suplr_benes_sum:Double,tot_suplr_clms_standard_deviation:Double,tot_suplr_clms_mean:Double,tot_suplr_clms_sum:Double,tot_suplr_srvcs_standard_deviation:Double,tot_suplr_srvcs_mean:Double,tot_suplr_srvcs_sum:Double,avg_suplr_sbmtd_chrg_standard_deviation:Double,avg_suplr_sbmtd_chrg_mean:Double,avg_suplr_sbmtd_chrg_sum:Double,avg_suplr_mdcr_pymt_amt_standard_deviation:Double,avg_suplr_mdcr_pymt_amt_mean:Double,avg_suplr_mdcr_pymt_amt_sum:Double,bene_unique_cnt_mean:Double,bene_unique_cnt_sum:Double,bene_unique_cnt_standard_deviation:Double,line_svc_cnt_mean:Double,line_svc_cnt_sum:Double,line_svc_cnt_standard_deviation:Double,bene_day_srvc_cnt_mean:Double,bene_day_srvc_cnt_sum:Double,bene_day_srvc_cnt_standard_deviation:Double,average_submitted_chrg_amt_mean:Double,average_submitted_chrg_amt_sum:Double,average_submitted_chrg_amt_standard_deviation:Double,average_medicare_payment_amt_mean:Double,average_medicare_payment_amt_sum:Double,average_medicare_payment_amt_standard_deviation:Double,total_claim_count_mean:Double,total_claim_count_sum:Double,total_claim_count_standard_deviation:Double,total_30_day_fill_count_mean:Double,total_30_day_fill_count_sum:Double,total_30_day_fill_count_standard_deviation:Double,total_day_supply_mean:Double,total_day_supply_sum:Double,total_day_supply_standard_deviation:Double,total_drug_cost_mean:Double,total_drug_cost_sum:Double,total_drug_cost_standard_deviation:Double,bene_count_mean:Double,bene_count_sum:Double,bene_count_standard_deviation:Double
v1,Provider,,,1003000407,YES,0,0.176091259,0.544068044,1.462397998,0.176091259,0.812913357,1.752048448,0.977723605,1.267171728,2.309630167,3.007107383,2.71222867,3.619719266,1.884780015,1.809146543,2.92911557,1.441138723,1.326109364,2.40857571,1.698970004,3.714916248,1.643452676,1.851258349,3.863501301,1.903089987,1.851258349,3.863382348,1.903089987,2.22488743,4.233487602,1.983653866,1.923087327,3.931687499,1.558482734,1.505149978,3.879841056,1.477121255,1.518508243,3.882120223,1.482324466,2.760422483,5.124158478,2.675778342,3.07433413,5.43794611,3.350563206,0.903089987,3.312811826,0.84509804
v2,Provider,,,1003007287,NO,1,0.77815125,0.84509804,2.004321374,0.77815125,0.903089987,2.021189299,1.079181246,1.322219295,2.440909082,1.579783597,1.556302501,2.675778342,1.877635382,1.834673134,2.948616486,1.409251499,1.304424744,2.418368096,1.591064607,3.299507299,1.568201724,1.812913357,3.513883186,1.919078092,1.812913357,3.513883186,1.919078092,1.938176812,3.637146816,2.053857145,1.522615145,3.22158515,1.506577646,1.544068044,3.856547645,1.707570176,1.748658489,4.051854547,1.872694673,3.221153322,5.52456098,3.348888723,3.099355732,5.40255179,3.489384441,0.954242509,3.288249226,1.041392685
v3,Provider,,,1003010802,NO,1,0.301029996,0.477121255,1.602059991,0.903089987,1.041392685,2.093421685,1.361727836,1.505149978,2.551449998,1.361727836,1.505149978,2.556302501,2.186544678,2.121615442,3.163008127,1.282741213,1.459017183,2.500409868,2.201397124,3.664829941,1.977723605,2.614897216,4.07773118,2.736396502,2.614897216,4.07773118,2.736396502,2.434630161,3.897028159,2.295782631,1.962822378,3.425220376,1.580841166,1.255272505,2.606381365,1,1.274997066,2.617419747,1.0188243,2.519827994,3.863144346,2.315970345,2.202685184,3.545107864,2.037851273,1.204119983,2.556302501,1
v4,Provider,,,1003015439,NO,0,0.301029996,0.477121255,2.206825876,0.602059991,0.954242509,2.64738297,1.672097858,1.851258349,3.542202782,3.824386202,3.719165494,5.409422485,0.899412133,0.969973994,2.660170074,0.826516049,0.754785387,2.444981467,1.62324929,3.419955748,1.477121255,1.875061263,3.672836454,1.857332496,1.875061263,3.669595781,1.857332496,2.67025951,4.462651199,2.6287377,2.13089991,3.923291599,2.073775721,1.414973348,3.729893404,1.204119983,1.543561775,3.857428996,1.419141306,3.017867719,5.332131315,2.894869657,3.338698843,5.652566063,3.642983622,0.698970004,3.070037867,0.301029996
v5,Provider,,,1003036278,NO,1,0.301029996,0.301029996,1.579783597,0,0.698970004,1.903089987,0.301029996,1.113943352,2.336459734,1.041392685,1.255272505,2.480006943,2.27331496,2.144084248,3.34820423,1.485539012,1.403951134,2.608071117,1.51851394,3.503926804,1.544068044,1.763427994,3.741230411,1.944482672,1.716003344,3.693639026,1.939519253,2.101736773,4.074864626,2.154261398,1.544592425,3.517720279,1.647767564,1.462397998,3.949585151,1.462397998,1.72944747,4.203663734,1.75490048,3.192567453,5.666932422,3.237543738,2.910099204,5.384315468,3.132107159,0.903089987,3.426673888,0.903089987
v6,Provider,,,1003043027,NO,0,0,0,0,0,0.698970004,0.698970004,0,1.146128036,1.146128036,0,1.146128036,1.146128036,0,2.052617001,2.052617001,0,1.807341708,1.807341708,1.662757832,3.388811413,1.72427587,1.792391689,3.521922245,1.770852012,1.681241237,3.407390904,1.748188027,2.17425969,3.89853556,2.137925371,1.539730472,3.264006341,1.540863124,1.477121255,3.1752218,1.380211242,1.485112745,3.175308825,1.39651287,2.392696953,4.083251717,2.250420002,2.630610289,4.320806369,2.679110012,1.462397998,3.158663981,1.380211242
v7,Provider,,,1003057167,NO,1,0,0,0.477121255,0,0.698970004,1.176091259,0,1.041392685,1.51851394,0,1.041392685,1.51851394,1.962139643,2.079181246,2.556302501,1.415196572,1.578680877,2.055802132,1.748188027,2.95568775,1.785329835,2.214843848,3.419294722,2.414973348,2.214843848,3.419294722,2.414973348,2.092545208,3.29666519,1.598640279,1.691114622,2.895234604,1.109292284,1.278753601,2.758154622,1,1.318480725,2.79560198,1.066069536,2.579783597,4.057856209,2.459392488,2.712796686,4.189917941,3.08427994,1,2.51054501,0.903089987
v8,Provider,,,1003066838,YES,0,0,0.301029996,1.041392685,0,0.698970004,1.397940009,0.77815125,1.204119983,1.924279286,2.696356389,2.380211242,3.079904468,2.351223513,2.341044147,3.040014151,1.422179716,1.446555262,2.145525266,1.544068044,3.241297387,1.462397998,1.929418926,3.62283548,2.037426498,1.77815125,3.472317546,1.982271233,1.951304511,3.641500591,1.977907183,1.374352733,3.064548813,1.489342637,1.380211242,3.577721525,1.204119983,1.47440427,3.664735969,1.321287223,2.843232778,5.033910054,2.765668555,2.915405419,5.105737117,3.218867629,0.903089987,3.126456113,0.903089987
v9,Provider,,,1003073941,NO,1,0,0.301029996,0.698970004,1.079181246,1.113943352,1.431363764,1.204119983,1.544068044,1.84509804,1.924279286,1.913813852,2.217483944,2.894453957,2.769999915,3.07102991,2.716850643,2.592264513,2.893294509,1.633468456,2.680335513,1.602059991,1.880813592,2.923244019,2.017033339,1.880813592,2.923244019,2.017033339,2.670358321,3.711751006,2.593650953,1.817696467,2.859089152,1.428305136,1.792391689,2.998259338,1.740362689,1.874771637,3.07889162,1.868936226,3.321391278,4.52555011,3.334252642,3.830141274,5.034261256,4.05049459,1.342422681,2.553883027,1.322219295
v10,Provider,,,1003101692,NO,1,0,0,0.602059991,0.698970004,1.041392685,1.544068044,0.301029996,1.113943352,1.612783857,0.301029996,1.113943352,1.612783857,1.573609806,1.710599848,2.187721103,1.323315741,1.436472781,1.913594036,1.491361694,3.277379975,1.361727836,1.681241237,3.469085299,1.568201724,1.579783597,3.37401474,1.462397998,2.349775363,4.135105198,2.68757474,1.548457766,3.333787601,1.543245101,1.556302501,3.197004728,1.556302501,1.576930333,3.210398789,1.556285056,2.710117365,4.344235035,2.542825427,2.789673011,4.423141467,2.853174051,1.414973348,3.049605613,1.414973348
